id,visit_id,utm_source,utm_medium,utm_campaign,utm_term,utm_content,referrer,user_agent,ip,ip_details,created_at
40,bba97e32-59ff-4a2c-8a71-1d8e34b94130,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 13:32:55
41,30019f91-a549-4c4f-a1e1-88822e3279fb,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 13:33:46
42,2bbeb74d-de4b-44e1-9476-27c7b7a709dc,,,,,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 13:52:18
43,0a2cfa05-cea6-4101-a4f4-5641845fb527,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 13:56:38
44,1259d046-637d-4d86-b66f-53523adabcd0,,,,,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 14:14:36
45,bb2418c4-a8f7-41d9-a059-85e7fea6a752,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 14:33:29
46,0aa04371-cb83-441a-8b2d-c21c8f0d9b7b,,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7.2 Mobile/15E148 Safari/604.1",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 14:49:01
47,6c935f94-3c09-4fa7-94f5-1d77d5a8c153,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 15:24:55
48,ef5bdac3-9f95-4e98-8fad-1a34d906de41,,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/143.0.7499.151 Mobile/15E148 Safari/604.1",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 15:28:04
49,ef5bdac3-9f95-4e98-8fad-1a34d906de41,,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/143.0.7499.151 Mobile/15E148 Safari/604.1",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 15:28:06
